"PART","Part","DATATYPE","Amount type","DAC_RECIPIENT","Recipient","TIME","Year",Value,Flags
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","71","Albania","1988","1988",5.56,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","71","Albania","1989","1989",10.34,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","71","Albania","1990","1990",11.05,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","71","Albania","1991","1991",331.95,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","71","Albania","1992","1992",590.83,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","71","Albania","1993","1993",315.23,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","71","Albania","1994","1994",175.35,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","71","Albania","1995","1995",208.45,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","71","Albania","1996","1996",234.22,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","71","Albania","1997","1997",163.95,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","71","Albania","1998","1998",268.35,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","71","Albania","1999","1999",483.9,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","71","Albania","2000","2000",319.23,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","71","Albania","2001","2001",265.16,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","71","Albania","2002","2002",319.8,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","71","Albania","2003","2003",374.79,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","71","Albania","2004","2004",382.44,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","71","Albania","2005","2005",393.31,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","71","Albania","2006","2006",351.46,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","71","Albania","2007","2007",370.87,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","71","Albania","2008","2008",475.73,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","71","Albania","2009","2009",413.61,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","71","Albania","2010","2010",382.16,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","71","Albania","2011","2011",490.24,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","1970","1970",109.71,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","1971","1971",123.43,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","1972","1972",102.82,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","1973","1973",115.77,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","1974","1974",134.82,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","1975","1975",275.92,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","1976","1976",205.21,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","1977","1977",201.99,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","1978","1978",237.78,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","1979","1979",145.79,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","1980","1980",239.63,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","1981","1981",191.13,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","1982","1982",160.47,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","1983","1983",140.45,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","1984","1984",160.15,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","1985","1985",321.02,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","1986","1986",291.59,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","1987","1987",309.51,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","1988","1988",244.76,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","1989","1989",325.15,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","1990","1990",642.75,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","1991","1991",626.73,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","1992","1992",614.41,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","1993","1993",616.36,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","1994","1994",771.47,
