Origin,[Migration_Dim].[list].[Mig_Name].[Code],Dest,1960,1970,1980,1990,2000
AFG,TOT,IRN,42222,75075,284019,680274,762129
ALB,TOT,DEU,4212,2587,2092,1758,221897
ALB,TOT,GRC,6554,4074,4728,50727,420838
ALB,TOT,ITA,12606,11374,12096,42821,275300
DZA,TOT,FRA,626615,1493990,1424707,1375771,1057135
AGO,TOT,PRT,15415,40277,105233,139439,167578
ARG,TOT,USA,17591,55325,77600,106364,133210
ARM,TOT,RUS,72835,84996,103733,151484,481328
AUS,TOT,GBR,45146,60219,63407,74195,113700
AUT,TOT,DEU,59970,124663,176610,151101,189096
AZE,TOT,ARM,158871,218499,237154,125123,115689
AZE,TOT,ISR,26046,30949,52388,120033,225396
AZE,TOT,RUS,101089,136343,217178,478594,846104
BGD,TOT,IND,12501,75838,4653065,4250287,3789377
BGD,TOT,OMN,7166,10309,23972,69525,102360
BGD,TOT,SAU,4522,25466,129860,338332,366007
BGD,TOT,GBR,1750,397,49666,107183,163655
BLR,TOT,KAZ,80433,148693,135840,136939,107972
BLR,TOT,POL,415683,357938,256644,177096,113204
BLR,TOT,RUS,985601,1125849,1228403,1408619,935782
BLR,TOT,UKR,276999,367421,386705,419031,270751
BEN,TOT,NGA,4837,25911,248728,94128,157826
BOL,TOT,ARG,90166,102092,119671,149439,237213
BIH,TOT,AUT,16008,91697,173,102798,152381
BIH,TOT,HRV,611,621,1112,317969,459328
BIH,TOT,DEU,36054,91947,122299,107502,186646
BIH,TOT,USA,50710,53277,49268,43775,125844
BRA,TOT,JPN,247,3964,8770,52178,242246
BRA,TOT,USA,14821,34273,49875,100962,225330
BGR,TOT,TUR,282561,313509,293493,457367,480716
BFA,TOT,CIV,402537,622326,798070,864973,1252098
KHM,TOT,USA,1219,858,20024,127916,140684
CAN,TOT,USA,995660,964010,1001367,914902,950549
CHL,TOT,ARG,119505,163943,217368,226327,219104
CHN,TOT,AUS,13834,20051,25805,75698,162810
CHN,TOT,CAN,35717,62157,90391,137439,336302
CHN,TOT,HKG,1562528,16823,1898285,1994591,2164744
CHN,TOT,JPN,52509,53719,52376,134823,335495
CHN,TOT,MAC,62104,24899,90156,168243,203877
CHN,TOT,PHL,196157,105959,37700,77055,125278
CHN,TOT,SGP,278798,243677,218970,261396,348383
CHN,TOT,THA,423268,286877,175389,137066,224153
CHN,TOT,USA,105384,220531,320005,574049,1016412
COL,TOT,ESP,963,1624,2781,9834,140748
COL,TOT,USA,13898,82450,167474,323838,533019
COL,TOT,VEN,97349,173628,455590,553872,617744
COD,TOT,RWA,0,5980,7573,10216,288278
CIV,TOT,BFA,29146,41361,78945,184497,418038
HRV,TOT,DEU,12700,89269,132571,115671,224721
CUB,TOT,USA,85161,522875,682634,799972,894560
CZE,TOT,FRA,130859,47311,11410,10545,220766
CZE,TOT,DEU,736457,776632,749065,374732,402366
DOM,TOT,USA,13265,75310,188690,376328,706894
ECU,TOT,ESP,951,1604,2748,9716,176212
ECU,TOT,USA,8400,46789,99076,152738,302705
EGY,TOT,JOR,157,6406,25456,85785,102174
EGY,TOT,KWT,1743,37212,111358,120896,114162
EGY,TOT,LBY,5398,71015,180526,265932,318394
EGY,TOT,SAU,12110,68199,347779,906089,980205
EGY,TOT,ARE,129,3850,42028,77983,133986
EGY,TOT,USA,8884,30520,52431,79861,118619
SLV,TOT,USA,7453,18548,105316,502329,827583
ERI,TOT,ETH,230750,219497,230751,242582,255018
FIN,TOT,SWE,99867,242646,250527,222029,193364
FRA,TOT,BEL,60056,88405,106324,93350,113542
FRA,TOT,DEU,23951,39654,74684,70276,112171
FRA,TOT,ESP,43966,74159,127032,132217,126435
FRA,TOT,GBR,36254,21661,39996,54189,116631
FRA,TOT,USA,116814,124960,167205,171151,198061
GEO,TOT,RUS,0,223261,289412,423040,628973
DEU,TOT,AUS,104693,125685,106805,108810,107208
DEU,TOT,AUT,435151,189405,103062,88810,101883
DEU,TOT,CAN,183947,188574,196989,218650,185745
DEU,TOT,FRA,154139,221523,201292,210539,260042
DEU,TOT,NLD,128602,48321,66783,128144,115574
DEU,TOT,POL,5512,4746,34792,64706,108175
DEU,TOT,SCG,21375,21724,38897,27627,102251
DEU,TOT,ESP,24142,40722,69755,89377,109454
DEU,TOT,CHE,5331,119736,5464,91691,117410
DEU,TOT,TUR,4416,56413,86842,174757,272995
DEU,TOT,GBR,147308,167846,185374,218592,338110
DEU,TOT,USA,1035269,987519,1204599,1227752,1250815
GHA,TOT,NGA,7017,21843,198295,73458,123169
GRC,TOT,AUS,74219,161937,141392,132072,115342
GRC,TOT,DEU,46203,307898,303378,258077,367554
GRC,TOT,USA,166588,209976,229757,195173,179950
GLP,TOT,FRA,34707,3470,86781,924,208276
GTM,TOT,USA,6073,20482,72214,242451,489507
GIN,TOT,CIV,51728,79972,102556,124852,129807
GUY,TOT,USA,268,2997,57637,129959,219060
HTI,TOT,DOM,95525,127170,152301,186181,228274
HTI,TOT,USA,5545,34977,104863,240037,435259
HND,TOT,USA,7028,22561,42722,119088,288779
HKG,TOT,CAN,2435,32055,62949,89251,234201
HKG,TOT,GBR,12508,30576,60318,75601,143805
HKG,TOT,USA,4766,3752,87572,159451,207845
IND,TOT,BGD,637854,704574,779720,854364,936151
IND,TOT,CAN,8781,45737,84397,149951,313999
IND,TOT,FRA,80752,8074,15718,23455,136233
IND,TOT,KWT,4082,21896,59060,106856,100904
IND,TOT,NPL,324670,322152,229585,407123,563571
IND,TOT,OMN,21845,31427,73080,211955,312053
IND,TOT,PAK,6293916,4858023,3899706,3130431,2512906
IND,TOT,SAU,12449,70109,357516,931457,1007649
IND,TOT,SGP,66510,50875,42266,43696,105187
IND,TOT,LKA,999333,1080645,644956,447083,384789
IND,TOT,ARE,721,21584,235611,437179,751142
IND,TOT,GBR,190722,336567,401255,429885,524796
IND,TOT,USA,13910,69997,227684,494290,1041320
IDN,TOT,MYS,5398,56436,125723,407154,885328
IDN,TOT,NLD,202339,73984,99421,185323,155137
IDN,TOT,SAU,3541,19941,101686,264929,286600
IRN,TOT,DEU,7246,13586,35952,66008,108486
IRN,TOT,USA,7294,5761,134447,229109,294355
IRQ,TOT,IRN,4702,8361,31630,75759,169650
IRQ,TOT,KWT,25437,46741,82910,168625,159233
IRL,TOT,FRA,107311,37980,2221,4140,181039
IRL,TOT,GBR,892,717774,621804,599823,636751
IRL,TOT,USA,353621,297642,216471,186124,163136
ISR,TOT,USA,18761,46174,75666,100555,125896
ISR,TOT,PSE,167080,199203,235848,310350,479728
ITA,TOT,ARG,927303,687552,487003,363907,224155
ITA,TOT,AUS,218698,309003,266038,246309,216676
ITA,TOT,BEL,196020,254545,288899,241481,203181
ITA,TOT,CAN,250997,314957,386475,423097,310213
ITA,TOT,FRA,140448,840941,594387,520281,236943
ITA,TOT,DEU,216562,540065,611115,506864,629291
ITA,TOT,CHE,442123,590957,486056,414031,336726
ITA,TOT,GBR,100455,115935,100220,92402,125396
ITA,TOT,USA,1312537,1193985,923820,667394,547833
JAM,TOT,CAN,499,5345,10400,101004,118874
JAM,TOT,GBR,116203,148203,168068,144441,152843
JAM,TOT,USA,26710,83570,221818,363387,575845
JPN,TOT,USA,114981,160338,335683,448625,500527
JOR,TOT,KWT,14838,175512,317832,460366,434725
JOR,TOT,SAU,1575,8868,45222,117818,127456
JOR,TOT,PSE,94032,112110,132734,174663,269988
