Origin,[Migration_Dim].[list].[Mig_Name].[Code],Dest,1960,1970,1980,1990,2000,gt50000
AFG,TOT,IRN,42222,75075,284019,680274,762129,true
AFG,TOT,KWT,760,1323,1164,93561,88350,true
AFG,FEM,IRN,21205,35415,126455,288307,309799,true
AFG,MAL,IRN,21016,39661,157564,391967,452330,true
AFG,MAL,KWT,654,1187,1126,48691,52306,true
ALB,TOT,DEU,4212,2587,2092,1758,221897,true
ALB,TOT,GRC,6554,4074,4728,50727,420838,true
ALB,TOT,ITA,12606,11374,12096,42821,275300,true
ALB,FEM,DEU,1644,1014,848,656,116723,true
ALB,FEM,GRC,2845,1521,1716,15191,174024,true
ALB,FEM,ITA,7154,6684,7436,13494,129823,true
ALB,MAL,DEU,2568,1572,1244,1102,105175,true
ALB,MAL,GRC,3709,2553,3012,35536,246814,true
ALB,MAL,ITA,5452,4690,4660,29327,145477,true
DZA,TOT,FRA,626615,1493990,1424707,1375771,1057135,true
DZA,FEM,FRA,201387,632298,630419,652025,535456,true
DZA,MAL,FRA,425229,861691,794288,723746,521679,true
AGO,TOT,NAM,13238,21219,34012,54519,52200,true
AGO,TOT,PRT,15415,40277,105233,139439,167578,true
AGO,FEM,PRT,9068,22464,55643,73423,87546,true
AGO,MAL,PRT,6347,17813,49591,66016,80031,true
ARG,TOT,PRY,27512,24563,37611,47261,64284,true
ARG,TOT,ESP,12334,20804,35637,52801,83803,true
ARG,TOT,USA,17591,55325,77600,106364,133210,true
ARG,FEM,USA,8414,30047,38979,52843,67127,true
ARG,MAL,USA,9177,25279,38621,53521,66083,true
ARM,TOT,AZE,152502,168047,165099,137027,89898,true
ARM,TOT,RUS,72835,84996,103733,151484,481328,true
ARM,TOT,UKR,18403,21959,25378,36498,52168,true
ARM,TOT,USA,84201,69991,49945,32487,99985,true
ARM,FEM,RUS,30794,35935,43857,64046,203501,true
ARM,FEM,USA,42567,34021,27543,17774,52384,true
ARM,MAL,AZE,88025,96998,95297,79093,51283,true
ARM,MAL,RUS,42041,49061,59876,87438,277827,true
AUS,TOT,NZL,34932,43826,45707,51217,56375,true
AUS,TOT,GBR,45146,60219,63407,74195,113700,true
AUS,TOT,USA,23305,31783,46076,54050,74459,true
AUS,FEM,GBR,25214,34025,34873,40813,62446,true
AUS,MAL,GBR,19932,26194,28534,33382,51254,true
AUT,TOT,DEU,59970,124663,176610,151101,189096,true
AUT,TOT,SCG,6731,6841,12249,16607,61465,true
AUT,TOT,USA,317730,253310,155493,97915,72126,true
AUT,FEM,DEU,27609,54452,75265,68203,85689,true
AUT,MAL,DEU,32361,70211,101345,82898,103407,true
AZE,TOT,ARM,158871,218499,237154,125123,115689,true
AZE,TOT,ISR,26046,30949,52388,120033,225396,true
AZE,TOT,RUS,101089,136343,217178,478594,846104,true
AZE,TOT,UKR,0,24679,39138,84629,90753,true
AZE,FEM,ARM,81886,112620,122236,64492,66224,true
AZE,FEM,ISR,12354,15053,27903,59385,114926,true
AZE,FEM,RUS,52104,70275,111939,246680,436105,true
AZE,MAL,ISR,13692,15896,24484,60647,110470,true
AZE,MAL,RUS,48985,66068,105239,231914,409999,true
AZE,MAL,UKR,0,11959,18965,41009,50428,true
BGD,TOT,IND,12501,75838,4653065,4250287,3789377,true
BGD,TOT,MYS,100,4515,13529,37871,77856,true
BGD,TOT,OMN,7166,10309,23972,69525,102360,true
BGD,TOT,SAU,4522,25466,129860,338332,366007,true
BGD,TOT,ARE,59,1771,19327,35862,61616,true
BGD,TOT,GBR,1750,397,49666,107183,163655,true
BGD,TOT,USA,360,271,6317,23029,92655,true
BGD,FEM,IND,4989,36511,2176204,1982610,1792374,true
BGD,FEM,SAU,1111,5693,26413,62608,78567,true
BGD,FEM,GBR,636,176,16483,50235,79484,true
BGD,MAL,IND,7511,39327,2476861,2267677,1997004,true
BGD,MAL,MYS,65,2408,7181,22227,76163,true
BGD,MAL,OMN,7054,10148,23600,68453,100794,true
BGD,MAL,SAU,3410,19772,103447,275724,287440,true
BGD,MAL,GBR,1114,222,33183,56948,84172,true
BGD,MAL,USA,215,139,3856,15425,54029,true
BRB,TOT,USA,12029,280,31809,45699,54282,true
BLR,TOT,KAZ,80433,148693,135840,136939,107972,true
BLR,TOT,LVA,60002,92455,108635,116621,79328,true
BLR,TOT,LTU,42103,63325,80292,88093,56314,true
BLR,TOT,POL,415683,357938,256644,177096,113204,true
BLR,TOT,RUS,985601,1125849,1228403,1408619,935782,true
BLR,TOT,UKR,276999,367421,386705,419031,270751,true
BLR,TOT,USA,46247,35508,19723,17767,58949,true
BLR,FEM,KAZ,47483,87780,80192,80841,63740,true
BLR,FEM,POL,223822,192472,141613,100457,67444,true
BLR,FEM,RUS,581840,664635,725176,831565,552430,true
BLR,FEM,UKR,163524,216904,228288,247371,160056,true
BLR,MAL,RUS,403760,461215,503226,577054,383352,true
BLR,MAL,UKR,113475,150517,158417,171660,110695,true
BEL,TOT,FRA,31743,159945,127668,127747,53553,true
BEN,TOT,CIV,19970,30874,39592,47750,60847,true
BEN,TOT,NGA,4837,25911,248728,94128,157826,true
BEN,TOT,TGO,39804,56908,59867,62534,64427,true
BEN,FEM,NGA,1967,10997,108692,43063,75071,true
BEN,MAL,NGA,2870,14914,140036,51064,82755,true
BOL,TOT,ARG,90166,102092,119671,149439,237213,true
BOL,TOT,USA,2340,8903,16256,34385,53658,true
BOL,FEM,ARG,36202,43464,52920,72480,115258,true
BOL,MAL,ARG,53964,58628,66750,76958,121955,true
BIH,TOT,AUT,16008,91697,173,102798,152381,true
BIH,TOT,HRV,611,621,1112,317969,459328,true
BIH,TOT,DEU,36054,91947,122299,107502,186646,true
BIH,TOT,SVN,618,628,1124,70405,69279,true
BIH,TOT,SWE,591,13059,2070,19042,50956,true
BIH,TOT,USA,50710,53277,49268,43775,125844,true
BIH,FEM,AUT,7935,52415,97,54716,78765,true
BIH,FEM,HRV,297,310,570,166640,240064,true
BIH,FEM,DEU,17259,36622,54378,50030,90225,true
BIH,FEM,USA,23011,27080,24873,21658,62359,true
BIH,MAL,AUT,8073,39283,75,48082,73616,true
BIH,MAL,HRV,314,311,542,151329,219264,true
BIH,MAL,DEU,18794,55324,67921,57472,96421,true
BIH,MAL,USA,27699,26196,24395,22118,63485,true
BRA,TOT,JPN,247,3964,8770,52178,242246,true
BRA,TOT,PRY,15979,30531,84503,104263,82987,true
BRA,TOT,USA,14821,34273,49875,100962,225330,true
BRA,FEM,JPN,106,1693,4264,19063,109834,true
