Origin,[Migration_Dim].[list].[Mig_Name].[Code],Dest,1960,1970,1980,1990,2000,gt1000
AFG,TOT,AUS,42,70,749,2637,11128,true
AFG,TOT,AUT,47,148,217,267,2488,true
AFG,TOT,BHR,62,61,13384,22519,34419,true
AFG,TOT,CAN,228,3007,5905,1539,21969,true
AFG,TOT,DNK,13,12,42,384,4198,true
AFG,TOT,FRA,1767,177,110,51,2981,true
AFG,TOT,DEU,199,256,592,15875,15529,true
AFG,TOT,IND,3827,3975,5397,13755,9671,true
AFG,TOT,IRN,42222,75075,284019,680274,762129,true
AFG,TOT,KWT,760,1323,1164,93561,88350,true
AFG,TOT,KGZ,0,0,0,0,1174,true
AFG,TOT,LBN,28,49,102,45698,23718,true
AFG,TOT,LBY,36,225,573,844,1011,true
AFG,TOT,NLD,0,0,0,0,26955,true
AFG,TOT,OMN,80,116,269,780,1148,true
AFG,TOT,PAK,28216,27957,22442,18015,14461,true
AFG,TOT,QAT,27,261,1508,76302,35442,true
AFG,TOT,SAU,157,887,4522,11782,12746,true
AFG,TOT,SWE,17,39,174,353,4239,true
AFG,TOT,CHE,160,127,111,519,2395,true
AFG,TOT,SYR,701,6777,4931,6975,9172,true
AFG,TOT,TJK,0,0,0,2088,1571,true
AFG,TOT,TUR,620,2573,3653,7136,9630,true
AFG,TOT,ARE,25,759,8290,15383,26430,true
AFG,TOT,USA,293,207,4832,30146,44893,true
AFG,TOT,YEM,1283,1588,1966,2434,2845,true
AFG,FEM,AUS,16,31,350,1236,4449,true
AFG,FEM,BHR,22,32,2694,6227,10054,true
AFG,FEM,CAN,108,1474,2909,655,10707,true
AFG,FEM,DNK,8,5,13,154,1866,true
AFG,FEM,FRA,844,86,55,22,1510,true
AFG,FEM,DEU,72,91,232,6069,7573,true
AFG,FEM,IND,655,731,2164,6676,4704,true
AFG,FEM,IRN,21205,35415,126455,288307,309799,true
AFG,FEM,KWT,107,136,38,44870,36044,true
AFG,FEM,LBN,11,22,30,24831,11670,true
AFG,FEM,NLD,0,0,0,0,11431,true
AFG,FEM,PAK,9705,10122,7916,6212,4981,true
AFG,FEM,QAT,5,60,194,21914,8233,true
AFG,FEM,SAU,61,319,1504,3618,4434,true
AFG,FEM,SWE,11,19,74,178,1886,true
AFG,FEM,CHE,95,63,62,230,1076,true
AFG,FEM,SYR,322,3258,2235,3172,4182,true
AFG,FEM,TUR,275,1260,1794,3549,4144,true
AFG,FEM,ARE,2,88,1379,3622,5139,true
AFG,FEM,USA,120,101,1989,13407,21776,true
AFG,FEM,YEM,469,581,719,890,1041,true
AFG,MAL,AUS,26,40,399,1401,6679,true
AFG,MAL,AUT,28,84,112,118,1634,true
AFG,MAL,BHR,39,30,10690,16292,24366,true
AFG,MAL,CAN,121,1533,2996,885,11263,true
AFG,MAL,DNK,5,7,30,230,2331,true
AFG,MAL,FRA,923,91,55,29,1471,true
AFG,MAL,DEU,127,164,360,9806,7957,true
AFG,MAL,IND,3171,3244,3233,7079,4967,true
AFG,MAL,IRN,21016,39661,157564,391967,452330,true
AFG,MAL,KWT,654,1187,1126,48691,52306,true
AFG,MAL,LBN,18,27,72,20867,12048,true
AFG,MAL,NLD,0,0,0,0,15524,true
AFG,MAL,PAK,18510,17835,14526,11803,9480,true
AFG,MAL,QAT,22,202,1315,54388,27209,true
AFG,MAL,SAU,96,568,3018,8164,8312,true
AFG,MAL,SWE,6,21,100,175,2353,true
AFG,MAL,CHE,65,63,50,289,1319,true
AFG,MAL,SYR,379,3520,2696,3803,4990,true
AFG,MAL,TUR,345,1313,1860,3587,5485,true
AFG,MAL,ARE,23,671,6912,11761,21290,true
AFG,MAL,USA,173,106,2843,16739,23118,true
AFG,MAL,YEM,813,1007,1247,1543,1804,true
ALB,TOT,AUS,1410,1525,1315,951,1437,true
ALB,TOT,AUT,1158,2303,605,1351,2372,true
ALB,TOT,BEL,1572,804,900,591,1951,true
ALB,TOT,CAN,863,1733,2655,456,6102,true
ALB,TOT,FRA,19179,6911,8,33,32356,true
ALB,TOT,DEU,4212,2587,2092,1758,221897,true
ALB,TOT,GRC,6554,4074,4728,50727,420838,true
ALB,TOT,ITA,12606,11374,12096,42821,275300,true
ALB,TOT,MKD,188,191,343,1847,2146,true
ALB,TOT,SCG,1036,1053,1885,1104,4084,true
ALB,TOT,CHE,4810,145,4631,88828,1817,true
ALB,TOT,THA,34,73,203,353,1150,true
ALB,TOT,TUR,5224,3240,1344,139,3313,true
ALB,TOT,USA,10047,10865,7963,5844,40555,true
ALB,FEM,AUT,478,1341,269,578,1189,true
