1960,1970,1980,1990,2000,origin
84282,107298,236982,360422,502303,NZL
265117,343977,326381,340829,330389,CHE
33173,53666,97580,306249,566110,GTM
959,2407,11124,7574,15025,FSM
185650,335219,719142,1029215,1533220,COL
638848,1033456,2579330,4744465,9550629,MEX
659044,627651,618810,503127,532185,AUT
83513,131840,380565,385803,479253,GHA
13347,12408,14261,13215,4564,GIB
1314,3728,1521,10276,14487,GRL
212546,350160,301232,827746,1293866,BIH
623503,547007,471656,416005,435247,HUN
220811,198759,249239,220244,220155,DNK
50146,39112,20072,39795,54809,COM
331465,262719,221174,215029,270092,SWE
84170,286219,279421,523165,613367,YEM
16241,15411,19147,24032,27037,ISL
1967,7051,75736,2676,115131,REU
84039,131126,373995,1054244,1179710,AFG
56883,120045,255732,492351,873995,DOM
1764635,2439034,1900957,1583488,1110891,ESP
69669,127769,397135,643170,780401,LKA
152555,73840,498506,791193,965871,PSE
539284,1123352,911750,963946,1123620,IRL
1602,1685,5141,2141,4502,DJI
10961,8334,7779,8287,14252,FRO
978249,1320831,1635115,1781009,2182911,USA
54389,72707,68657,69316,111749,LBY
0,0,0,0,0,SRB
1294,1948,3784,4254,4898,QAT
0,0,0,0,0,CHI
1328342,1852318,2059098,2789104,3382369,KAZ
0,0,0,0,0,MNE
51683,84708,251622,426096,726326,HKG
8294,12703,27513,73551,126520,FJI
479,539,630,376,1513,FLK
171478,232811,529305,693020,1012229,IRN
97708,172820,151912,190983,231534,EST
644940,697401,726627,737092,774792,NLD
111617,145109,468654,223563,342243,MKD
404,1932,2042,2020,4863,MNG
223052,314621,409630,593744,1155210,MYS
193965,239915,301306,224220,213627,BDI
174112,228780,401856,487576,506968,CHL
28745,33613,46981,90258,148034,ANT
670595,971495,1161224,1453223,1490549,PRI
16947,16750,26468,37594,55550,VCT
50294,75118,125045,159778,213383,SAU
43,43,54,1134,1116,MYT
196727,266423,437495,675081,1030084,IRQ
216817,284084,379720,514295,712025,ISR
66751,94840,161717,281067,362943,KWT
160989,179909,222094,305967,371419,ZWE
60032,64379,138279,114495,138143,CMR
1949797,2283514,2319593,2529435,1746890,BLR
335224,375587,369598,433267,659212,NGA
44220,56231,101218,318903,502426,NIC
401870,372625,292653,370820,541265,SVK
4101,4641,7013,2154,4497,LIE
3567,5210,11716,14092,15054,GAB
23673,37447,37732,34272,24014,CAF
203259,193507,218553,328541,177911,LSO
343011,424312,602467,716419,870198,JPN
982848,484672,414680,410160,340744,BEL
4803240,2839228,4174988,4461334,5814587,CHN
98903,134099,209048,269542,375013,AGO
472,1146,748,1628,2704,SLB
40708,39065,63837,84680,152411,CPV
4270,8444,21370,26608,37713,PNG
162053,180376,559224,614723,544190,PRK
3377,14447,24862,35417,62979,GNQ
3964,474,14878,18142,18261,BMU
412969,453492,440518,593882,643228,MDA
10474,10689,16839,32217,46231,LCA
260758,398236,654024,645292,773801,MLI
524764,600182,638205,588188,768657,NPL
28198,21311,114564,25278,170512,MTQ
51935,25071,108720,24907,244779,GLP
