1960,1970,1980,1990,2000,2010,Dest,Origin
42,70,749,2637,11128,21968,AUS,AFG
47,148,217,267,2488,0,AUT,AFG
62,61,13384,22519,34419,0,BHR,AFG
151,119,132,144,158,0,BGD,AFG
16,91,41,229,209,1059,BEL,AFG
168,175,179,178,826,0,BGR,AFG
228,3007,5905,1539,21969,42100,CAN,AFG
2,2,3,19,211,211,CZE,AFG
13,12,42,384,4198,12293,DNK,AFG
1450,3819,6431,177,277,0,EGY,AFG
0,2,4,4,322,580,FIN,AFG
1767,177,110,51,2981,2958,FRA,AFG
199,256,592,15875,15529,79444,DEU,AFG
9,26,48,226,357,567,GRC,AFG
67,66,4,32,599,0,HKG,AFG
99,116,101,86,81,606,HUN,AFG
3827,3975,5397,13755,9671,8414,IND,AFG
42222,75075,284019,680274,762129,1704199,IRN,AFG
327,200,117,69,0,0,IRQ,AFG
6,7,13,15,93,238,IRL,AFG
16,19,19,190,429,0,ISR,AFG
180,224,278,1522,202,1382,ITA,AFG
0,5,10,126,206,710,JPN,AFG
21,49,170,64,62,0,JOR,AFG
760,1323,1164,93561,88350,0,KWT,AFG
0,0,0,0,1174,0,KGZ,AFG
28,49,102,45698,23718,,LBN,AFG
36,225,573,844,1011,0,LBY,AFG
0,7,20,65,103,0,MYS,AFG
0,0,0,0,26955,30986,NLD,AFG
19,74,133,270,727,2346,NZL,AFG
2,0,6,256,652,4516,NOR,AFG
80,116,269,780,1148,0,OMN,AFG
28216,27957,22442,18015,14461,,PAK,AFG
11,8,44,35,751,973,PHL,AFG
3,2,50,97,165,162,POL,AFG
27,261,1508,76302,35442,0,QAT,AFG
0,0,0,0,406,0,RUS,AFG
157,887,4522,11782,12746,17227,SAU,AFG
2,4,10,24,181,0,SGP,AFG
0,0,1,3,73,168,SVK,AFG
0,0,0,148,123,483,ESP,AFG
14,25,139,96,83,0,LKA,AFG
17,39,174,353,4239,8504,SWE,AFG
160,127,111,519,2395,2222,CHE,AFG
701,6777,4931,6975,9172,0,SYR,AFG
0,0,0,2088,1571,56816,TJK,AFG
2,5,89,175,596,0,THA,AFG
83,9,61,119,112,0,TUN,AFG
620,2573,3653,7136,9630,10796,TUR,AFG
0,0,0,0,197,0,UKR,AFG
25,759,8290,15383,26430,0,ARE,AFG
221,50,548,14,5,61408,GBR,AFG
293,207,4832,30146,44893,61906,USA,AFG
39,46,55,72,111,0,PSE,AFG
1283,1588,1966,2434,2845,0,YEM,AFG
0,3,60,117,152,0,AND,ALB
4,23,45,147,0,0,ARG,ALB
1410,1525,1315,951,1437,2628,AUS,ALB
1158,2303,605,1351,2372,2397,AUT,ALB
1572,804,900,591,1951,1884,BEL,ALB
108,109,196,956,753,63,BIH,ALB
86,90,92,91,424,0,BGR,ALB
863,1733,2655,456,6102,11985,CAN,ALB
106,685,426,294,241,,COD,ALB
1045,1062,1901,25,182,0,HRV,ALB
5,5,28,42,118,107,CUB,ALB
0,1,2,3,126,246,CYP,ALB
11,12,14,96,180,180,CZE,ALB
145,57,5,6,91,272,DNK,ALB
5,78,158,0,114,0,EGY,ALB
19179,6911,8,33,32356,3037,FRA,ALB
4212,2587,2092,1758,221897,15964,DEU,ALB
6554,4074,4728,50727,420838,676846,GRC,ALB
917,574,465,386,359,117,HUN,ALB
58,47,12,369,58,0,IND,ALB
7,9,16,15,184,467,IRL,ALB
29,34,40,202,433,0,ISR,ALB
12606,11374,12096,42821,275300,522647,ITA,ALB
2,10,37,372,11,0,JOR,ALB
60,0,0,38,104,,LBN,ALB
11,35,46,271,221,267,LUX,ALB
188,191,343,1847,2146,91128,MKD,ALB
1237,310,215,0,509,711,NLD,ALB
29,8,22,23,62,118,NZL,ALB
59,40,183,42,70,0,NGA,ALB
4,24,15,21,152,303,NOR,ALB
125,0,0,10,15,21,PAN,ALB
20,76,85,485,600,725,PHL,ALB
124,107,87,74,70,62,POL,ALB
57,2,6,64,156,0,QAT,ALB
1567,1345,949,676,691,,ROM,ALB
0,0,0,0,417,0,RUS,ALB
1036,1053,1885,1104,4084,,SCG,ALB
304,309,552,15,2,195,SVN,ALB
32,94,157,173,70,0,ZAF,ALB
84,141,242,2,377,1847,ESP,ALB
44,83,1797,16,370,652,SWE,ALB
4810,145,4631,88828,1817,1688,CHE,ALB
34,73,203,353,1150,0,THA,ALB
5224,3240,1344,139,3313,3712,TUR,ALB
0,0,0,3343,202,0,UKR,ALB
4,6396,158,166,0,3065,GBR,ALB
10047,10865,7963,5844,40555,83018,USA,ALB
0,1,100,195,254,0,AND,DZA
71,34,0,231,0,0,ARG,DZA
130,353,1033,648,990,1261,AUS,DZA
1923,1383,673,251,546,734,AUT,DZA
0,0,1,0,9,2311,BHR,DZA
16,78,87,95,104,0,BGD,DZA
1694,6775,12179,11551,8004,21550,BEL,DZA
49,63,82,108,185,0,BEN,DZA
30,31,55,267,210,0,BIH,DZA
168,45,94,299,339,0,BRA,DZA
33,34,35,35,162,0,BGR,DZA
65,93,177,56,14,0,BFA,DZA
222,1267,2360,3038,20298,37543,CAN,DZA
2,413,260,180,147,,COD,DZA
113,175,224,58,313,0,CIV,DZA
65,58,71,82,203,0,CUB,DZA
36,123,210,300,20,33,CYP,DZA
3,3,4,26,330,330,CZE,DZA
1558,26,433,627,932,1187,DNK,DZA
5218,3222,1087,4226,1695,1246,EGY,DZA
29,122,237,238,456,769,FIN,DZA
626615,1493990,1424707,1375771,1057135,913794,FRA,DZA
95,260,519,1208,1842,,GUF,DZA
58,289,744,605,17,0,PYF,DZA
9670,7395,14291,6947,20295,21081,DEU,DZA
7,65,34,444,854,,GHA,DZA
379,6035,1669,304,267,378,GRC,DZA
149,465,888,1931,1734,,GLP,DZA
15,132,0,0,364,0,HKG,DZA
116,385,354,308,293,610,HUN,DZA
2351,9606,2795,4359,4799,0,IND,DZA
76,48,49,59,851,0,IDN,DZA
145,162,180,256,65,290,IRQ,DZA
329,414,736,899,861,1945,IRL,DZA
46884,55710,55304,46068,46734,47199,ISR,DZA
7365,11372,5306,5870,15861,29480,ITA,DZA
0,3,7,63,179,155,JPN,DZA
76,43,76,141,339,2827,JOR,DZA
0,135,127,236,223,0,KWT,DZA
10,352,193,173,1215,,LBN,DZA
73,1390,3535,5207,6234,0,LBY,DZA
93,144,490,2910,347,405,LUX,DZA
52,53,95,2522,2930,0,MKD,DZA
3,2,4,4373,3953,3586,MDG,DZA
1,1,178,175,172,0,MWI,DZA
0,6,18,57,120,0,MYS,DZA
450,441,433,425,588,615,MLI,DZA
162,437,426,831,995,,MTQ,DZA
0,1,2,1558,1722,2744,MRT,DZA
0,21,0,41,95,131,MEX,DZA
90,354,680,847,1000,0,MCO,DZA
94601,30409,17079,14454,13233,,MAR,DZA
0,0,3,35,143,0,MOZ,DZA
52,266,710,2020,3873,3833,NLD,DZA
264,13,859,852,1022,0,NCL,DZA
2,8,13,29,109,135,NZL,DZA
353,477,644,507,207,0,NER,DZA
0,800,8257,3205,5373,0,NGA,DZA
215,84,148,457,749,1216,NOR,DZA
186,586,470,378,303,,PAK,DZA
34,27,139,911,606,674,PHL,DZA
4,3,144,283,483,529,POL,DZA
14,36,94,76,0,267,PRT,DZA
3,9,13,1,119,0,PRI,DZA
9,1882,2854,289,1815,0,QAT,DZA
158,638,12,16,23,,REU,DZA
2,9,46,119,129,0,SAU,DZA
290,295,528,165,611,,SCG,DZA
56,3,11,29,104,0,SGP,DZA
25,382,744,1739,190,0,ZAF,DZA
0,0,0,6984,23269,63346,ESP,DZA
764,729,935,530,640,419,SDN,DZA
6,1480,3265,6109,1664,2223,SWE,DZA
6568,1811,6864,6749,3959,6748,CHE,DZA
7,0,273,548,1882,0,THA,DZA
32926,18207,16256,16819,15846,12176,TUN,DZA
602,1096,1308,2366,656,726,TUR,DZA
0,6,63,116,200,0,ARE,DZA
8385,30581,2479,5592,40555,15612,GBR,DZA
322,533,4843,5577,11717,7306,USA,DZA
3293,3926,4648,6116,9454,0,PSE,DZA
1136,1407,1742,2156,2521,0,YEM,DZA
1,0,268,6,5,0,ZMB,DZA
604,778,734,692,637,0,ZWE,DZA
0,3,2,0,155,209,AUS,ASM
180,90,0,0,39,50,CAN,ASM
4,12,21,25,30,165,FJI,ASM
13,10,14,4,246,0,DEU,ASM
6,13,2,184,62,0,IND,ASM
6,198,2,101,0,0,ITA,ASM
